page,text,image,choice1_text,choice1_to,choice2_text,choice2_to,choice3_text,choice3_to
0,サンプルゲームブック,motoyan_001.png,はじめる,1,(c) 2026 R-Business,,,
1,"古い洞窟の入り口に立っている。
ひんやりとした空気が奥から流れてくる。
あなたはどうする？",元ヤン姉_出力_002.png,次へ,2,引き返して帰る,3,,
2,松明を頼りに進むと、道が二手に分かれていた。,元ヤン姉_出力_003.png,次へ,3,左の道へ進む,5,入り口へ戻る,1
3,"あなたは冒険をやめ、家路についた。
平穏な一日だった。",元ヤン姉_出力_004.png,次へ,4,,,,
4,,元ヤン姉_出力_005.png,次へ,5,引き返す,2,,
5,行き止まりだった。来た道を戻るしかない。,元ヤン姉_出力_006.png,次へ,6,,,,
6,"宝箱を見つけた！
中には古びた金貨が詰まっている。
あなたは財宝を手にした。",元ヤン姉_出力_007.png,次へ,7,,,,
7,,元ヤン姉_出力_008.png,次へ,8,,,,
8,,元ヤン姉_出力_009.png,次へ,9,,,,
9,選択肢,元ヤン姉_出力_010.png,次へ,10,そ、、、そんなバカな！？,19,,
10,,元ヤン姉_出力_011.png,次へ,11,,,,
11,,元ヤン姉_出力_012.png,次へ,12,,,,
12,,元ヤン姉_出力_013.png,次へ,13,,,,
13,,元ヤン姉_出力_014.png,次へ,14,,,,
14,,元ヤン姉_出力_015.png,次へ,15,,,,
15,,元ヤン姉_出力_016.png,次へ,16,,,,
16,,元ヤン姉_出力_017.png,次へ,17,,,,
17,,元ヤン姉_出力_018.png,次へ,18,,,,
18,,元ヤン姉_出力_019.png,次へ,19,,,,
19,選択肢,元ヤン姉_出力_020.png,次へ,20,どうしようもなく興奮がおさまらないんだ,29,,
20,,元ヤン姉_出力_021.png,次へ,21,,,,
21,,元ヤン姉_出力_022.png,次へ,22,,,,
22,,元ヤン姉_出力_023.png,次へ,23,,,,
23,,元ヤン姉_出力_024.png,次へ,24,,,,
24,,元ヤン姉_出力_025.png,次へ,25,,,,
25,,元ヤン姉_出力_026.png,次へ,26,,,,
26,,元ヤン姉_出力_027.png,次へ,27,,,,
27,,元ヤン姉_出力_028.png,次へ,28,,,,
28,,元ヤン姉_出力_029.png,次へ,29,,,,
29,選択肢（エンディングへ）,元ヤン姉_出力_030.png,次へ,30,い、、、イクっ！！！,52,まだまだぁ！,39
30,,元ヤン姉_出力_031.png,次へ,31,,,,
31,,元ヤン姉_出力_032.png,次へ,32,,,,
32,,元ヤン姉_出力_033.png,次へ,33,,,,
33,,元ヤン姉_出力_034.png,次へ,34,,,,
34,,元ヤン姉_出力_035.png,次へ,35,,,,
35,,元ヤン姉_出力_036.png,次へ,36,,,,
36,,元ヤン姉_出力_037.png,次へ,37,,,,
37,,元ヤン姉_出力_038.png,次へ,38,,,,
38,,元ヤン姉_出力_039.png,次へ,39,,,,
39,選択肢（エンディングへ）,元ヤン姉_出力_040.png,次へ,40,も、もうダメ、、、,53,もういっちょおおおお！,49
40,,元ヤン姉_出力_041.png,次へ,41,,,,
41,,元ヤン姉_出力_042.png,次へ,42,,,,
42,,元ヤン姉_出力_043.png,次へ,43,,,,
43,,元ヤン姉_出力_044.png,次へ,44,,,,
44,,元ヤン姉_出力_045.png,次へ,45,,,,
45,,元ヤン姉_出力_046.png,次へ,46,,,,
46,,元ヤン姉_出力_047.png,次へ,47,,,,
47,,元ヤン姉_出力_048.png,次へ,48,,,,
48,,元ヤン姉_出力_049.png,次へ,49,,,,
49,選択肢（エンディングへ）,元ヤン姉_出力_050.png,次へ,50,姉ちゃん、、、ぼ僕もう、、、,54,,
50,,元ヤン姉_出力_051.png,次へ,51,,,,
51,,元ヤン姉_出力_052.png,次へ,52,,,,
52,エンディング1,元ヤン姉_出力_053.png,,,,,,
53,エンディング2,元ヤン姉_出力_054.png,,,,,,
54,エンディング3,元ヤン姉_出力_055.png,,,,,,
